id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31795832,The Alma Taverns' Exclusive Accommodation - Hopewell,65192629,Hopewell,Clifton Down,51.46252,-2.61473,Entire home/apt,510,1,13,21/11/2021,0.4,143,308
31796234,3 bedroom Shirehampton flat near Avonmouth & M4,51686051,Michael,Avonmouth & Lawrence Weston,51.49026,-2.67797,Entire home/apt,152,2,22,12/12/2021,0.63,10,39
31856783,Beautiful Georgian flat with parking! Clifton,236481623,Mairead,Clifton Down,51.46284,-2.61301,Entire home/apt,143,2,230,23/12/2021,6.58,18,22
31946180,Fantastic 2 double bedroom apartment,34763945,Mary,Hartcliffe & Withywood,51.41558,-2.61722,Entire home/apt,119,3,18,5/9/2021,0.59,2,46
31952623,Charming Victorian Apartment- Vibrant Central Area,68684564,Ollie,Redland,51.47203,-2.59628,Entire home/apt,59,4,115,30/11/2021,3.31,1,298
31976664,Large Clifton One Bed Flat + Parking,65192629,Hopewell,Clifton,51.45647,-2.61503,Entire home/apt,108,1,82,20/9/2021,2.34,143,61
32009579,3 bedroom apartment overlooking SS Great Britain,125651447,Your Apartment,Clifton,51.45054,-2.61036,Entire home/apt,217,1,31,24/11/2021,0.89,63,326
32175468,Charming and spacious garden flat close to the BRI,241410743,Jamie,Clifton,51.4574,-2.60951,Entire home/apt,123,1,72,7/11/2021,2.07,1,268
32288245,Toad Lodge The Brown Room,100890506,Lydia,Cotham,51.46346,-2.5994,Private room,46,1,46,28/11/2021,1.33,3,255
32288430,Toad Lodge The Green Room,100890506,Lydia,Cotham,51.46406,-2.59851,Private room,46,1,176,9/12/2021,5.1,3,166
32310759,Attic room with en suite,242554151,Mark,Windmill Hill,51.43942,-2.58056,Private room,30,2,80,1/8/2021,2.32,1,12
32330644,Cosy Bristol flat - whole flat,95156661,Graham,Lockleaze,51.48821,-2.56612,Entire home/apt,24,2,19,15/12/2021,0.55,1,5
32334406,"LOVELY 2 BEDROOM FLAT, ENTIRE PLACE, EASTVILLE",159464911,Ihsan,Lockleaze,51.47498,-2.56692,Private room,75,1,8,20/7/2019,0.24,1,0
32351662,"Sleeps 6, 2 bed. Close to Temple Meads railway",125651447,Your Apartment,Brislington West,51.44349,-2.55485,Entire home/apt,168,1,9,28/11/2021,0.33,63,363
32484335,Large light room in Easton for WOMEN ONLY,216097975,Laura,Easton,51.46595,-2.56258,Private room,26,1,77,20/9/2021,2.25,1,0
32512839,"Apartment in Quiet, City Centre, Historic Building",244295459,Elizabeth,Lawrence Hill,51.45562,-2.58297,Entire home/apt,122,2,42,22/11/2021,1.34,1,164
32523240,Cozy family home in Easton with 2 double bedrooms,6410293,Polly,Easton,51.46355,-2.55686,Entire home/apt,100,1,29,28/11/2021,0.85,1,3
32548284,Georgian Home for Comfort and Rest,244585989,David,Cotham,51.47125,-2.60961,Private room,28,1,91,15/3/2020,2.66,1,82
32608994,Bright & airy double room nr popular North Street,11144283,Lucy,Bedminster,51.4364,-2.60852,Private room,35,2,9,14/7/2019,0.27,2,208
32689119,Bell Hill House by Cliftonvalley - St George,16630323,Matt,St George Central,51.46112,-2.53197,Entire home/apt,152,2,31,29/11/2021,0.93,8,10
32695265,Bishopston/ Redland large single room,6317053,Penny,Redland,51.48054,-2.60363,Private room,25,2,2,25/1/2020,0.06,2,218
32728599,Duplex! Penthouse! Private Rooftop!  Location!,152788806,Pass The Property,Lawrence Hill,51.45747,-2.58088,Entire home/apt,166,3,38,2/12/2021,1.12,10,22
32780334,Contemporary Double Room w/Ensuite in Quiet Suburb,52701992,Rosie,Avonmouth & Lawrence Weston,51.4839,-2.67582,Private room,70,2,17,21/11/2021,1.07,2,201
32835191,Modern Studio w/Kitchen in Quiet Suburb,52701992,Rosie,Avonmouth & Lawrence Weston,51.48485,-2.67568,Entire home/apt,58,7,10,8/12/2021,0.56,2,251
32856133,Tranquil 2 bedroom home in Totterdown,247180335,Gemma,Windmill Hill,51.44128,-2.57053,Entire home/apt,121,1,97,19/12/2021,2.9,1,7
32885371,"Quiet, bijou flat, close to the top of Whiteladies",56800009,Mimi,Clifton Down,51.47023,-2.61245,Entire home/apt,60,2,2,22/12/2021,1.09,1,10
33032992,Sunny double room with en suite,197034197,Pip,Lockleaze,51.49408,-2.57186,Private room,34,2,17,15/3/2020,0.51,1,140
